CustomerID,Recency,Frequency,Monetary,Recency_Log,Frequency_Log,Monetary_Log
12346.0,529,11,372.86,6.272877006546167,2.4849066497880004,5.923881395784186
12347.0,367,2,1323.32,5.908082938168931,1.0986122886681098,7.188654399137086
12348.0,438,1,222.16,6.0844994130751715,0.6931471805599453,5.407889002977328
12349.0,407,3,2671.14,6.0112671744041615,1.3862943611198906,7.890634928493536
12351.0,375,1,300.93,5.929589143389895,0.6931471805599453,5.710195202428391
12352.0,375,2,343.8,5.929589143389895,1.0986122886681098,5.842964538789538
12353.0,408,1,317.76,6.013715156042802,0.6931471805599453,5.764438468529548
12355.0,567,1,488.21000000000004,6.342121418721152,0.6931471805599453,6.192791845141295
12356.0,380,3,3562.25,5.942799375126701,1.3862943611198906,8.17842832873514
12357.0,388,2,12079.99,5.963579343618446,1.0986122886681098,9.399388421773173
12358.0,375,3,2719.01,5.929589143389895,1.3862943611198906,7.908390835753873
12359.0,425,6,2563.36,6.054439346269371,1.9459101490553132,7.8494642138008395
12360.0,379,5,1590.83,5.940171252720432,1.791759469228055,7.372639576782921
12361.0,462,3,321.35,6.137727054086234,1.3862943611198906,5.775637911756629
12362.0,732,1,130.0,6.597145701886651,0.6931471805599453,4.875197323201151
12366.0,633,1,500.24,6.452048954437226,0.6931471805599453,6.217085028297085
12368.0,628,1,917.6999999999999,6.444131256700441,0.6931471805599453,6.822959627277421
12369.0,413,3,1791.15,6.025865973825314,1.3862943611198906,7.491171295388921
12370.0,624,3,774.62,6.437751649736401,1.3862943611198906,6.653662709523911
12371.0,409,3,2179.42,6.016157159698354,1.3862943611198906,7.687272797776933
12373.0,624,2,763.0500000000001,6.437751649736401,1.0986122886681098,6.638633232051267
12374.0,421,3,2246.29,6.045005314036012,1.3862943611198906,7.717480324827861
12376.0,389,2,503.15,5.966146739123692,1.0986122886681098,6.222873842839224
12377.0,381,2,1798.2,5.945420608606575,1.0986122886681098,7.495097400645106
12378.0,562,1,1407.7,6.333279628139691,0.6931471805599453,7.250422572266261
12379.0,422,2,767.98,6.0473721790462776,1.0986122886681098,6.645064961365095
12380.0,465,7,6951.49,6.144185634125646,2.0794415416798357,8.84685514777555
12385.0,379,1,1938.4,5.940171252720432,0.6931471805599453,7.570133925870446
12386.0,366,1,258.9,5.905361848054571,0.6931471805599453,5.560296941647445
12387.0,415,1,143.94,6.030685260261263,0.6931471805599453,4.976319863681136
12388.0,445,2,1120.45,6.100318952020064,1.0986122886681098,7.022377769818835
12389.0,402,3,1433.33,5.998936561946683,1.3862943611198906,7.268453120207762
12391.0,464,5,2312.53,6.142037405587356,1.791759469228055,7.746529775628442
12392.0,591,1,234.75000000000003,6.3835066348840055,0.6931471805599453,5.462771921513567
12393.0,382,2,816.85,5.948034989180646,1.0986122886681098,6.706678945704534
12395.0,371,4,2048.64,5.918893854273146,1.6094379124341003,7.625419446955157
12396.0,674,1,931.43,6.51471269087253,0.6931471805599453,6.837794081676172
12399.0,385,3,853.65,5.955837369464831,1.3862943611198906,6.750692028402277
12400.0,414,1,205.25,6.028278520230698,0.6931471805599453,5.32908902521479
12402.0,392,5,1031.3,5.973809611869261,1.791759469228055,6.939544601471544
12403.0,521,1,591.6600000000001,6.257667587882639,0.6931471805599453,6.3846208787485486
12404.0,682,1,63.24,6.52649485957079,0.6931471805599453,4.162626069638506
12406.0,399,3,2975.06,5.991464547107982,1.3862943611198906,7.998355557040069
12408.0,385,3,1452.22,5.955837369464831,1.3862943611198906,7.281537062982867
12409.0,420,4,12346.619999999999,6.042632833682381,1.6094379124341003,9.421218610934066
12410.0,502,1,320.38,6.220590170099739,0.6931471805599453,5.772624223613607
12411.0,409,1,346.9,6.016157159698354,0.6931471805599453,5.8519150821578965
12412.0,402,3,1370.05,5.998936561946683,1.3862943611198906,7.223332148627434
12413.0,402,1,241.35,5.998936561946683,0.6931471805599453,5.490382962291385
12414.0,463,3,390.0,6.139884552226255,1.3862943611198906,5.968707559985366
12415.0,375,7,19543.84,5.929589143389895,2.0794415416798357,9.880466591956658
12416.0,656,1,202.56,6.48768401848461,0.6931471805599453,5.315960801720632
12417.0,410,11,3167.81,6.018593214496234,2.4849066497880004,8.061111402071473
12418.0,413,3,1352.62,6.025865973825314,1.3862943611198906,7.210537764156515
12419.0,385,2,503.01,5.955837369464831,1.0986122886681098,6.222596109144375
12421.0,415,2,291.56,6.030685260261263,1.0986122886681098,5.678669773841126
12422.0,394,14,4428.24,5.978885764901122,2.70805020110221,8.395983290759423
12423.0,387,2,763.08,5.961005339623274,1.0986122886681098,6.638672495726482
12424.0,422,2,1579.07,6.0473721790462776,1.0986122886681098,7.365224428837097
12425.0,448,1,964.21,6.1070228877422545,0.6931471805599453,6.872345694244244
12426.0,662,1,762.48,6.4967749901858625,0.6931471805599453,6.6378869291616915
12427.0,371,1,303.5,5.918893854273146,0.6931471805599453,5.718671087149952
